"Line","Class","Passed","Failed","Totalpassed","Totalfailed","score","rank"
"1023","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1022","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"605","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1028","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"600","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1027","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1026","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1032","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"595","org/apache/commons/math3/util/MathArraysTest","0.0","1.0","40.0","1.0","1.0","3"
"1031","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"592","org/apache/commons/math3/util/MathArraysTest","0.0","1.0","40.0","1.0","1.0","3"
"68","org/apache/commons/math3/exception/NumberIsTooSmallException","3.0","0.0","40.0","1.0","0.0","1115"
"593","org/apache/commons/math3/util/MathArraysTest","0.0","1.0","40.0","1.0","1.0","3"
"1033","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"70","org/apache/commons/math3/exception/NumberIsTooSmallException","3.0","0.0","40.0","1.0","0.0","1115"
"1007","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1006","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1005","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"584","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1011","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1010","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"585","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1016","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"580","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1015","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1014","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"582","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"50","org/apache/commons/math3/exception/NumberIsTooSmallException","3.0","0.0","40.0","1.0","0.0","1115"
"581","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1019","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1018","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"578","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1017","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"577","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"569","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"563","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"559","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"562","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"561","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1039","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"558","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1037","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1042","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"550","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1045","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"544","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"543","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"669","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"658","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"942","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"648","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"948","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"945","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"640","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"642","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"636","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"992","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"635","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"991","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"990","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"637","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"632","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"631","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"995","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"634","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"994","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"633","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"993","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"628","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"999","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"630","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"998","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1004","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1003","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"1002","org/apache/commons/math3/util/MathArrays","3.0","0.0","40.0","1.0","0.0","1115"
"620","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"619","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"616","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"617","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"611","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"614","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1152","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1151","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1150","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1156","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"729","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"724","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1158","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1164","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"720","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1161","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1136","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"718","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1133","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1140","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"712","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1137","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"707","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1142","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1141","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"1147","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
"703","org/apache/commons/math3/util/MathArraysTest","1.0","0.0","40.0","1.0","0.0","1115"
"1146","org/apache/commons/math3/util/MathArrays","1.0","0.0","40.0","1.0","0.0","1115"
