Line,Class
26,org/apache/commons/math/analysis/QuinticFunction
31,org/apache/commons/math/analysis/SinFunction
32,org/apache/commons/math/analysis/QuinticFunction
34,org/apache/commons/math/analysis/solvers/BisectionSolverTest
37,org/apache/commons/math/analysis/SinFunction
41,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
51,org/apache/commons/math/analysis/solvers/BisectionSolverTest
52,org/apache/commons/math/analysis/solvers/BisectionSolver
54,org/apache/commons/math/analysis/solvers/BisectionSolverTest
55,org/apache/commons/math/analysis/solvers/BisectionSolverTest
56,org/apache/commons/math/analysis/solvers/BisectionSolverTest
58,org/apache/commons/math/analysis/solvers/BisectionSolverTest
59,org/apache/commons/math/analysis/solvers/BisectionSolverTest
61,org/apache/commons/math/ConvergingAlgorithmImpl
62,org/apache/commons/math/ConvergingAlgorithmImpl
63,org/apache/commons/math/ConvergingAlgorithmImpl
64,org/apache/commons/math/analysis/solvers/BisectionSolverTest
64,org/apache/commons/math/ConvergingAlgorithmImpl
65,org/apache/commons/math/ConvergingAlgorithmImpl
66,org/apache/commons/math/analysis/solvers/BisectionSolver
66,org/apache/commons/math/ConvergingAlgorithmImpl
67,org/apache/commons/math/analysis/solvers/BisectionSolverTest
67,org/apache/commons/math/ConvergingAlgorithmImpl
68,org/apache/commons/math/analysis/solvers/BisectionSolverTest
68,org/apache/commons/math/ConvergingAlgorithmImpl
69,org/apache/commons/math/analysis/solvers/BisectionSolverTest
71,org/apache/commons/math/analysis/solvers/BisectionSolverTest
72,org/apache/commons/math/analysis/solvers/BisectionSolver
72,org/apache/commons/math/analysis/solvers/BisectionSolverTest
73,org/apache/commons/math/ConvergingAlgorithmImpl
74,org/apache/commons/math/analysis/solvers/BisectionSolverTest
75,org/apache/commons/math/analysis/solvers/BisectionSolverTest
77,org/apache/commons/math/analysis/solvers/BisectionSolverTest
78,org/apache/commons/math/analysis/solvers/BisectionSolverTest
78,org/apache/commons/math/ConvergingAlgorithmImpl
79,org/apache/commons/math/analysis/solvers/BisectionSolver
80,org/apache/commons/math/analysis/solvers/BisectionSolver
80,org/apache/commons/math/analysis/solvers/BisectionSolverTest
81,org/apache/commons/math/analysis/solvers/BisectionSolverTest
83,org/apache/commons/math/analysis/solvers/BisectionSolverTest
83,org/apache/commons/math/ConvergingAlgorithmImpl
84,org/apache/commons/math/analysis/solvers/BisectionSolverTest
85,org/apache/commons/math/analysis/solvers/BisectionSolver
86,org/apache/commons/math/analysis/solvers/BisectionSolver
86,org/apache/commons/math/analysis/solvers/BisectionSolverTest
87,org/apache/commons/math/analysis/solvers/BisectionSolver
87,org/apache/commons/math/analysis/solvers/BisectionSolverTest
88,org/apache/commons/math/analysis/solvers/BisectionSolver
88,org/apache/commons/math/ConvergingAlgorithmImpl
89,org/apache/commons/math/analysis/solvers/BisectionSolver
89,org/apache/commons/math/analysis/solvers/BisectionSolverTest
90,org/apache/commons/math/analysis/solvers/BisectionSolverTest
91,org/apache/commons/math/analysis/solvers/BisectionSolver
92,org/apache/commons/math/analysis/solvers/BisectionSolverTest
93,org/apache/commons/math/analysis/solvers/BisectionSolver
93,org/apache/commons/math/analysis/solvers/BisectionSolverTest
93,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
93,org/apache/commons/math/ConvergingAlgorithmImpl
94,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
95,org/apache/commons/math/analysis/solvers/BisectionSolverTest
95,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
96,org/apache/commons/math/analysis/solvers/BisectionSolver
96,org/apache/commons/math/analysis/solvers/BisectionSolverTest
98,org/apache/commons/math/analysis/solvers/BisectionSolverTest
98,org/apache/commons/math/ConvergingAlgorithmImpl
99,org/apache/commons/math/analysis/solvers/BisectionSolver
99,org/apache/commons/math/analysis/solvers/BisectionSolverTest
100,org/apache/commons/math/analysis/solvers/BisectionSolver
101,org/apache/commons/math/analysis/solvers/BisectionSolver
101,org/apache/commons/math/analysis/solvers/BisectionSolverTest
102,org/apache/commons/math/analysis/solvers/BisectionSolver
102,org/apache/commons/math/analysis/solvers/BisectionSolverTest
102,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
103,org/apache/commons/math/ConvergingAlgorithmImpl
104,org/apache/commons/math/analysis/solvers/BisectionSolver
107,org/apache/commons/math/analysis/solvers/BisectionSolverTest
108,org/apache/commons/math/analysis/solvers/BisectionSolverTest
108,org/apache/commons/math/ConvergingAlgorithmImpl
109,org/apache/commons/math/analysis/solvers/BisectionSolverTest
109,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
110,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
113,org/apache/commons/math/ConvergingAlgorithmImpl
117,org/apache/commons/math/analysis/solvers/BisectionSolverTest
118,org/apache/commons/math/analysis/solvers/BisectionSolverTest
118,org/apache/commons/math/ConvergingAlgorithmImpl
119,org/apache/commons/math/analysis/solvers/BisectionSolverTest
120,org/apache/commons/math/analysis/solvers/BisectionSolverTest
121,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
126,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
128,org/apache/commons/math/analysis/solvers/BisectionSolverTest
129,org/apache/commons/math/analysis/solvers/BisectionSolverTest
130,org/apache/commons/math/analysis/solvers/BisectionSolverTest
131,org/apache/commons/math/analysis/solvers/BisectionSolverTest
131,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
132,org/apache/commons/math/analysis/solvers/BisectionSolverTest
133,org/apache/commons/math/analysis/solvers/BisectionSolverTest
141,org/apache/commons/math/analysis/solvers/BisectionSolverTest
141,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
142,org/apache/commons/math/analysis/solvers/BisectionSolverTest
142,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
143,org/apache/commons/math/analysis/solvers/BisectionSolverTest
143,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
144,org/apache/commons/math/analysis/solvers/BisectionSolverTest
152,org/apache/commons/math/analysis/solvers/BisectionSolverTest
153,org/apache/commons/math/analysis/solvers/BisectionSolverTest
154,org/apache/commons/math/analysis/solvers/BisectionSolverTest
155,org/apache/commons/math/analysis/solvers/BisectionSolverTest
156,org/apache/commons/math/analysis/solvers/BisectionSolverTest
157,org/apache/commons/math/analysis/solvers/BisectionSolverTest
165,org/apache/commons/math/analysis/solvers/BisectionSolverTest
165,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
166,org/apache/commons/math/analysis/solvers/BisectionSolverTest
166,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
167,org/apache/commons/math/analysis/solvers/BisectionSolverTest
168,org/apache/commons/math/analysis/solvers/BisectionSolverTest
176,org/apache/commons/math/analysis/solvers/BisectionSolverTest
177,org/apache/commons/math/analysis/solvers/BisectionSolverTest
178,org/apache/commons/math/analysis/solvers/BisectionSolverTest
179,org/apache/commons/math/analysis/solvers/BisectionSolverTest
180,org/apache/commons/math/analysis/solvers/BisectionSolverTest
181,org/apache/commons/math/analysis/solvers/BisectionSolverTest
189,org/apache/commons/math/analysis/solvers/BisectionSolverTest
